C
Management and Business Professionals and Administrative Services,17411636981.570004
Financial and Insurance Services,10577093386.139996
Healthcare Services,9597437516.6399956
Public Order and Security and Safety Services,6213543591.2700024
Travel and Food and Lodging and Entertainment Services,5455216803.8899937
Medical Equipment and Accessories and Supplies,4904298691.3800011
Industrial Production and Manufacturing Services,2989461997.3799987
Food and Beverage Products,2911704602.1399994
Information Technology Broadcasting and Telecommunications,2631072053.9599986
Chemicals including Bio Chemicals and Gas Materials,2614621907.730001
Pharmaceutical Products incl. Contraceptives and Vaccines,2129997433.9599998
Engineering and Research and Technology Based Services,1581499711.3600001
Published Products,1574687449.1200008
Transportation and Storage and Mail Services,1453376216.0199733
Vehicles and their Accessories and Components,1355220681.9600005
Paper Materials and Products,1329033288.8000004
Industrial Cleaning Services,1315388727.7999992
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,1226128430.9300003
Public Utilities and Public Sector Related Services,1122428053.6500006
Furniture and Furnishings,1121017309.3399994
Education and Training Services,1027775952.6899998
Printing and Photographic and Audio and Visual Equipment and Supplies,609795905.64000142
Apparel and Luggage and Personal Care Products,542687540.04
Building and Facility Construction and Maintenance Services,486765732.97999978
Editorial and Design and Graphic and Fine Art Services,468285330
Live Plant and Animal Material and Accessories and Supplies,359853528.22000009
Politics and Civic Affairs Services,332701280.27999985
Structures and Building and Construction and Manufacturing Components and Supplies,298523975.36
Mineral and Textile and Inedible Plant and Animal Materials,295612541.08000004
Office Equipment and Accessories and Supplies,229110477.21000004
Law Enforcement and National Security and Security and Safety Equipment and Supplies,213052529.68999997
Laboratory and Measuring and Observing and Testing Equipment,212298466.04000002
Tools and General Machinery,198295181.98000002
Manufacturing Components and Supplies,188744056.19999993
Sports and Recreational Equipment and Supplies and Accessories,151389745.29
Domestic Appliances and Supplies and Consumer Electronic Products,139658744.14000005
Cleaning Equipment and Supplies,100696662.51000002
Personal and Domestic Services,97065722.179999992
Land and Buildings and Structures and Thoroughfares,48865471.55
Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,46934888.64
Environmental Services,21335012.820000004
Distribution and Conditioning Systems and Equipment and Components,21216554.57
Electrical Systems and Lighting and Components and Accessories and Supplies,18979594.769999996
Farming and Fishing and Forestry and Wildlife Machinery and Accessories,18145178.52
Service Industry Machinery and Equipment and Supplies,5534400.5999999987
Farming and Fishing and Forestry and Wildlife Contracting Services,4042047.2700000005
Power Generation and Distribution Machinery and Accessories,1988023.87
Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,1129665.8
Organizations and Clubs,313454
Industrial Manufacturing and Processing Machinery and Accessories,65372.46
